
 WorkFlow
Start 2024-10-22 08:20:14  Run : 28.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31
  104 6706.578 1.288000   0.517972 2073.66  333.675 57.7436 1.141530 0.849996 5.49747 0.1512420 0.0627821
  105 6705.270 1.324860   0.519435 2252.96  409.139 59.3422 1.182890 0.800356 5.09423 0.1424710 0.0640017
  106 6703.636 1.479930   0.519676 2341.79  427.162 58.6373 1.127280 0.780917 4.72699 0.1437790 0.0695638
  107 6701.188 1.694870   0.519717 2190.20  368.306 57.9842 1.103020 0.801235 4.87369 0.1465680 0.0724144
  108 6700.517 2.103140   0.515633 2313.94  361.282 57.5501 1.102560 0.772251 4.55843 0.1454160 0.0800570
  109 6699.377 2.025970   0.516362 2173.14  351.960 57.8354 1.099960 0.780738 4.63826 0.1442430 0.0799326
  110 6699.142 2.029550   0.516533 2245.52  375.041 58.0849 1.108290 0.763902 4.50034 0.1417550 0.0803875
  111 6698.097 2.332240   0.514403 2275.65  378.104 58.5792 1.104540 0.729629 4.13428 0.1377330 0.0880964
  112 6697.210 2.546850   0.511687 2315.77  374.045 59.0210 1.100990 0.709598 4.00376 0.1342480 0.0918148
  113 6696.094 3.386790   0.504717 2483.59  366.212 60.2259 1.147290 0.620537 3.29341 0.1221280 0.1076330
  114 6694.691 3.527790   0.505281 2252.54  322.673 61.5433 1.194260 0.624262 3.50316 0.1167470 0.1068280
  115 6693.841 3.766770   0.505179 2134.71  293.754 62.3350 1.218800 0.622438 3.62896 0.1126430 0.1067970
  116 6693.804 3.773680   0.505160 2127.35  292.073 62.3086 1.218390 0.623635 3.64647 0.1126270 0.1065680
  117 6692.063 3.937830   0.505753 2052.34  261.059 61.1957 1.188550 0.654925 4.06036 0.1158540 0.0968274
  118 6689.667 4.180150   0.501171 2090.63  246.747 61.5938 1.212370 0.654365 4.13027 0.1174460 0.0912894
  119 6687.086 4.641540   0.495377 2217.98  233.803 61.7559 1.214720 0.647771 4.15973 0.1209350 0.0827833
  120 6687.056 5.492490   0.489230 2154.26  205.043 61.5195 1.221640 0.642377 4.12666 0.1241710 0.0790055
  121 6685.310 5.531160   0.495336 2174.67  212.882 62.0072 1.219860 0.635300 4.05111 0.1251130 0.0766302
  122 6684.113 5.852890   0.498796 2121.98  207.472 62.4804 1.227850 0.628431 3.92707 0.1292740 0.0733997
  123 6683.440 6.466650   0.501200 2114.85  203.167 60.7063 1.190910 0.614365 3.56790 0.1375060 0.0738906
  124 6683.065 6.681400   0.502644 2146.13  198.614 59.5181 1.173230 0.609944 3.28852 0.1468000 0.0744059
  125 6682.845 6.628310   0.502189 2094.86  201.343 58.8705 1.176960 0.611601 3.16455 0.1497600 0.0770595
  126 6682.571 6.442420   0.499411 2067.61  205.465 57.5215 1.145790 0.619791 3.07712 0.1538390 0.0810381
  127 6682.362 6.407280   0.498652 2010.80  205.710 56.2694 1.096280 0.628066 2.93500 0.1610160 0.0846114
  128 6682.310 6.370790   0.498551 1990.76  206.148 56.1940 1.088560 0.632071 2.97378 0.1608100 0.0845799
  129 6682.195 6.350160   0.499309 1932.62  210.172 54.7396 1.052160 0.640897 2.89803 0.1658310 0.0863399
  130 6682.117 6.491300   0.499455 1896.26  209.347 53.7970 1.037700 0.644490 2.82137 0.1709100 0.0860957
  131 6682.075 6.574270   0.499236 1875.04  209.153 53.2479 1.024140 0.647509 2.78946 0.1736080 0.0863296
  132 6682.040 6.647190   0.498648 1842.96  209.739 52.4536 1.002080 0.651866 2.72896 0.1778180 0.0875276
  133 6681.975 6.716790   0.498069 1818.54  210.940 51.8495 0.987329 0.654455 2.67487 0.1814610 0.0889586
  134 6681.912 6.871380   0.497716 1751.43  214.119 49.9372 0.940376 0.661208 2.48107 0.1932350 0.0938796
  135 6681.712 6.890110   0.498397 1782.94  213.482 50.3346 0.951900 0.655774 2.47875 0.1925020 0.0942899
  136 6681.421 7.134030   0.499240 1787.89  214.525 49.1498 0.929395 0.650389 2.27171 0.2041950 0.1003400
  137 6681.259 7.479670   0.499735 1825.83  212.849 48.0071 0.903864 0.643143 2.07901 0.2172100 0.1056300
  138 6681.165 7.698890   0.500000 1929.34  208.536 48.1364 0.908121 0.631659 2.01751 0.2217670 0.1071890
  139 6681.115 7.811650   0.499694 1920.42  210.811 47.6838 0.897175 0.630131 1.96723 0.2238780 0.1083440
  140 6681.114 7.809930   0.499685 1919.46  210.849 47.6780 0.897019 0.630280 1.96790 0.2238590 0.1083230
  141 6681.114 7.809930   0.499685 1919.46  210.849 47.6780 0.897019 0.630280 1.96790 0.2238590 0.1083230
  142 6681.110 7.810100   0.499613 1919.21  210.839 47.6749 0.896783 0.629711 1.96828 0.2239140 0.1083160
  143 6681.108 7.810400   0.499581 1919.29  210.836 47.6764 0.896770 0.629729 1.96796 0.2238950 0.1083070
  144 6681.106 7.813450   0.499294 1919.40  210.792 47.6763 0.896444 0.629424 1.96604 0.2237880 0.1082410
  145 6681.105 7.820290   0.498692 1919.31  210.696 47.6742 0.895697 0.628418 1.96247 0.2236210 0.1081030
  146 6681.105 7.822150   0.498569 1919.35  210.675 47.6733 0.895543 0.628157 1.96151 0.2235780 0.1080590
  147 6681.105 7.821590   0.498606 1919.33  210.681 47.6735 0.895589 0.628243 1.96181 0.2235930 0.1080720
  148 6681.105 7.821580   0.498606 1919.34  210.681 47.6735 0.895593 0.628297 1.96180 0.2235930 0.1080710
