
 WorkFlow
Start 2024-09-22 08:40:31  Run : 1.53611111111111 nSubj: 60 nObs : 480
 Iter      -2LL    GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12      K21       K13        K31   dVdWT
   91  6761.364 1.496310   0.519587 4153.26 3795.45 57.3427 1.13356 0.423707 2.719810 0.0590892 0.01887640 1.10598
   92  6755.444 1.493140   0.519998 4159.08 3789.16 57.4401 1.13630 0.430740 2.715080 0.0571868 0.02419610 1.10629
   93  6753.732 1.488510   0.520593 4167.56 3780.01 57.5813 1.14024 0.440115 2.708470 0.0550119 0.03282210 1.10675
   94  6751.621 1.489150   0.520516 4166.37 3781.29 57.5600 1.13960 0.435484 2.710510 0.0564908 0.03096640 1.10667
   95  6751.092 1.488030   0.520654 4168.42 3779.08 57.5935 1.14053 0.437024 2.709080 0.0564358 0.03290610 1.10678
   96  6750.879 1.485900   0.520913 4172.33 3774.86 57.6576 1.14229 0.440183 2.705950 0.0565388 0.03660490 1.10699
   97  6750.690 1.484890   0.521022 4174.16 3772.87 57.6870 1.14309 0.441546 2.704380 0.0569576 0.03811840 1.10708
   98  6750.226 1.482560   0.521238 4178.34 3768.32 57.7530 1.14486 0.445522 2.700250 0.0582968 0.04126170 1.10731
   99  6749.064 1.476890   0.521729 4188.44 3757.30 57.9119 1.14915 0.456809 2.689390 0.0617335 0.04907480 1.10785
  100  6747.635 1.467070   0.522530 4205.87 3738.33 58.1842 1.15646 0.477407 2.669910 0.0686194 0.06327450 1.10879
  101  6747.523 1.443210   0.524269 4248.02 3692.63 58.8358 1.17383 0.531827 2.619890 0.0911281 0.09967680 1.11108
  102  6747.522 1.442950   0.524284 4248.48 3692.13 58.8427 1.17402 0.532504 2.619280 0.0914674 0.10002100 1.11111
  103  6747.507 1.440940   0.524408 4252.00 3688.33 58.8962 1.17544 0.537685 2.614590 0.0938383 0.10295500 1.11130
  104  6747.268 1.413010   0.525960 4300.92 3635.64 59.6330 1.19491 0.616605 2.544830 0.1326510 0.14382700 1.11397
  105  6747.168 1.412400   0.525931 4301.90 3634.55 59.6450 1.19522 0.619745 2.541750 0.1346560 0.14313000 1.11403
  106  6745.487 1.397690   0.526333 4327.12 3607.36 60.0049 1.20463 0.672852 2.493380 0.1646660 0.15624700 1.11542
  107  6745.446 1.398790   0.526204 4325.07 3609.49 59.9707 1.20372 0.671030 2.494140 0.1638850 0.15270200 1.11531
  108  6744.857 1.401410   0.525556 4319.58 3614.95 59.8611 1.20075 0.674132 2.484510 0.1667400 0.13627800 1.11501
  109  6743.806 1.405670   0.525032 4311.54 3623.29 59.7216 1.19703 0.667027 2.484210 0.1628540 0.12349300 1.11456
  110  6739.990 1.420610   0.523698 4284.17 3652.17 59.2696 1.18502 0.630907 2.498610 0.1421490 0.09329090 1.11301
  111  6737.746 1.424800   0.523599 4276.92 3660.04 59.1610 1.18217 0.614021 2.510730 0.1323760 0.09094230 1.11258
  112  6737.578 1.421240   0.523930 4283.29 3653.26 59.2606 1.18480 0.619921 2.505860 0.1354120 0.09820260 1.11291
  113  6737.578 1.421140   0.523935 4283.46 3653.08 59.2629 1.18486 0.620144 2.505580 0.1355340 0.09832660 1.11292
  114  6737.076 1.421090   0.523932 4283.52 3653.01 59.2628 1.18485 0.620709 2.505180 0.1348660 0.09831490 1.11292
  115  6737.067 1.421020   0.523929 4283.60 3652.92 59.2626 1.18482 0.620208 2.505090 0.1344740 0.09829070 1.11291
  116  6737.047 1.420820   0.523922 4283.83 3652.65 59.2621 1.18476 0.618509 2.504960 0.1334650 0.09822060 1.11290
  117  6737.041 1.420550   0.523912 4284.15 3652.29 59.2614 1.18467 0.616095 2.504810 0.1321490 0.09812110 1.11289
  118  6737.040 1.420380   0.523905 4284.35 3652.05 59.2609 1.18462 0.614462 2.504730 0.1312970 0.09805280 1.11288
  119  6737.036 1.420150   0.523896 4284.61 3651.74 59.2603 1.18454 0.612367 2.504630 0.1302350 0.09796330 1.11286
  120  6737.033 1.419880   0.523885 4284.93 3651.37 59.2596 1.18445 0.609763 2.504510 0.1289420 0.09785000 1.11285
  121  6736.881 1.420350   0.523905 4284.39 3652.02 59.2607 1.18461 0.614453 2.504470 0.1315720 0.09808070 1.11288
  122  6736.744 1.419520   0.523873 4285.36 3650.89 59.2577 1.18435 0.607628 2.503040 0.1294160 0.09786290 1.11282
  123  6736.738 1.419210   0.523861 4285.72 3650.46 59.2568 1.18425 0.604940 2.502680 0.1282830 0.09774890 1.11281
  124  6736.733 1.418210   0.523820 4286.89 3649.10 59.2540 1.18394 0.596549 2.501470 0.1246680 0.09736080 1.11275
  125  6736.733 1.418180   0.523819 4286.93 3649.05 59.2539 1.18393 0.596259 2.501420 0.1245430 0.09734590 1.11275
  126  6736.338 1.418120   0.523815 4287.00 3648.98 59.2540 1.18392 0.596778 2.501030 0.1239470 0.09730170 1.11274
  127  6736.337 1.418120   0.523815 4287.00 3648.98 59.2540 1.18393 0.596742 2.501040 0.1239880 0.09730190 1.11274
  128  6736.283 1.417510   0.523776 4287.75 3648.11 59.2550 1.18379 0.591622 2.500560 0.1214270 0.09664480 1.11272
  129  6736.244 1.415080   0.523624 4290.76 3644.69 59.2592 1.18325 0.569948 2.499300 0.1122490 0.09401940 1.11264
  130  6735.737 1.404210   0.522653 4304.92 3629.28 59.3633 1.18394 0.507534 2.487590 0.0858069 0.07152730 1.11229
  131  6732.501 1.392710   0.522093 4316.75 3611.75 59.3354 1.18253 0.525372 2.423860 0.0975203 0.07032450 1.11174
  132  6731.168 1.364800   0.520838 4349.22 3573.83 59.3733 1.17980 0.531545 2.315630 0.1067640 0.07025000 1.11178
  133  6726.713 1.222360   0.514726 4518.29 3385.24 59.6296 1.16621 0.502308 1.804510 0.1271380 0.06726880 1.11177
  134  6726.503 1.214330   0.514390 4527.90 3374.68 59.6428 1.16543 0.500065 1.776990 0.1280880 0.06743570 1.11172
  135  6725.394 1.133770   0.510820 4624.96 3267.58 59.7860 1.15788 0.466815 1.515980 0.1321430 0.06695520 1.11077
  136  6725.391 1.114030   0.509907 4649.13 3240.99 59.8281 1.15614 0.456057 1.456300 0.1316350 0.06616490 1.11047
  137  6724.693 1.070670   0.507850 4703.04 3181.64 59.9417 1.15262 0.427894 1.332330 0.1277060 0.06366970 1.10976
  138  6723.940 1.024530   0.505654 4761.97 3117.03 60.0897 1.14918 0.393781 1.203610 0.1210430 0.06034130 1.10900
  139  6723.504 0.986477   0.503862 4812.41 3061.51 60.2442 1.14665 0.361473 1.095670 0.1133580 0.05687900 1.10838
  140  6723.380 0.958707   0.502615 4851.14 3018.09 60.3927 1.14518 0.333695 1.010300 0.1059210 0.05369850 1.10792
  141  6723.353 0.950255   0.502275 4863.78 3003.39 60.4545 1.14492 0.323274 0.979754 0.1029350 0.05242290 1.10778
  142  6723.262 0.942807   0.502035 4875.96 2988.50 60.5309 1.14495 0.311694 0.946208 0.0995223 0.05100210 1.10765
  143  6723.200 0.936617   0.501906 4887.29 2973.92 60.6197 1.14531 0.299455 0.910556 0.0958713 0.04943400 1.10756
  144  6723.099 0.931693   0.501891 4897.96 2959.33 60.7261 1.14607 0.286404 0.871828 0.0919839 0.04785600 1.10748
  145  6723.095 0.930050   0.501918 4902.16 2953.29 60.7760 1.14653 0.280720 0.854711 0.0902938 0.04710030 1.10746
  146  6722.933 0.924350   0.502381 4924.45 2918.35 61.1255 1.15066 0.246525 0.748655 0.0802623 0.04330450 1.10742
  147  6722.933 0.924350   0.502381 4924.45 2918.35 61.1255 1.15066 0.246525 0.748655 0.0802623 0.04330450 1.10742
  148  6721.824 0.924568   0.502403 4924.17 2918.46 61.1260 1.15066 0.244229 0.749498 0.0810660 0.04342670 1.10741
  149  6721.769 0.924667   0.502416 4924.07 2918.51 61.1266 1.15066 0.244340 0.749287 0.0808476 0.04339310 1.10741
  150  6721.752 0.924993   0.502461 4923.72 2918.67 61.1282 1.15067 0.244123 0.748897 0.0804332 0.04333120 1.10741
  151  6721.743 0.925046   0.502469 4923.68 2918.69 61.1284 1.15067 0.243902 0.748823 0.0804787 0.04332500 1.10741
  152  6721.736 0.925874   0.502575 4922.77 2919.10 61.1331 1.15070 0.242538 0.748241 0.0798905 0.04321250 1.10745
  153  6721.647 0.930654   0.503195 4917.68 2921.49 61.1619 1.15089 0.236685 0.744010 0.0757492 0.04238550 1.10768
  154  6721.601 0.937168   0.503990 4911.13 2924.78 61.2081 1.15133 0.229698 0.738159 0.0716973 0.04057370 1.10790
  155  6721.591 0.943830   0.504778 4904.24 2927.99 61.2589 1.15192 0.223292 0.731611 0.0683070 0.03866540 1.10813
  156  6721.583 0.946580   0.505095 4901.43 2929.33 61.2822 1.15222 0.220939 0.728727 0.0671416 0.03795210 1.10822
  157  6721.492 0.954243   0.505999 4894.62 2933.38 61.3593 1.15354 0.215453 0.720899 0.0645701 0.03633610 1.10877
  158  6721.462 0.963172   0.507024 4886.56 2938.15 61.4566 1.15519 0.209621 0.711248 0.0619251 0.03470320 1.10947
  159  6721.457 0.971958   0.508027 4878.77 2942.87 61.5599 1.15698 0.204447 0.701334 0.0596891 0.03335590 1.11023
  160  6721.450 0.975917   0.508466 4875.15 2944.96 61.6087 1.15782 0.202290 0.696603 0.0587998 0.03282630 1.11053
  161  6721.368 0.986982   0.509706 4865.63 2950.71 61.7539 1.16048 0.196903 0.683163 0.0567082 0.03158190 1.11183
  162  6721.347 1.000080   0.511112 4854.04 2957.48 61.9330 1.16370 0.190859 0.666529 0.0544329 0.03028820 1.11318
  163  6721.333 1.005720   0.511706 4848.96 2960.37 62.0138 1.16513 0.188415 0.659075 0.0535580 0.02980710 1.11375
  164  6721.266 1.021770   0.513436 4835.15 2968.52 62.2527 1.16966 0.181921 0.637353 0.0513607 0.02862880 1.11551
  165  6721.254 1.038450   0.515162 4820.47 2976.87 62.5107 1.17441 0.175535 0.614156 0.0493030 0.02754900 1.11735
  166  6721.240 1.046090   0.515931 4813.79 2980.65 62.6336 1.17665 0.172770 0.603246 0.0484686 0.02712000 1.11817
  167  6721.160 1.070520   0.518400 4793.36 2992.76 63.0382 1.18424 0.164595 0.568507 0.0461680 0.02598340 1.12125
  168  6721.145 1.079650   0.519292 4785.61 2997.22 63.1934 1.18710 0.161640 0.555183 0.0453781 0.02560410 1.12237
  169  6721.121 1.092810   0.520556 4774.47 3003.57 63.4265 1.19142 0.157446 0.535577 0.0443100 0.02511050 1.12416
  170  6721.113 1.119160   0.522977 4752.63 3016.21 63.9054 1.20009 0.149360 0.496231 0.0423669 0.02429350 1.12759
  171  6721.112 1.119980   0.523050 4751.95 3016.59 63.9206 1.20036 0.149112 0.494998 0.0423099 0.02427070 1.12770
  172  6721.112 1.119980   0.523050 4751.95 3016.59 63.9206 1.20036 0.149112 0.494998 0.0423099 0.02427070 1.12770
  173  6721.021 1.119930   0.523009 4751.99 3016.47 63.9304 1.20052 0.150044 0.493821 0.0421750 0.02434510 1.12772
  174  6720.885 1.119950   0.523003 4751.97 3016.48 63.9323 1.20055 0.149688 0.493838 0.0423610 0.02442320 1.12772
  175  6720.714 1.119950   0.522962 4752.01 3016.42 63.9435 1.20073 0.149751 0.492971 0.0426022 0.02463000 1.12776
  176  6719.749 1.119900   0.522676 4752.29 3015.97 64.0205 1.20205 0.150815 0.486646 0.0440230 0.02600650 1.12808
  177  6717.892 1.119770   0.522063 4752.83 3014.95 64.1842 1.20477 0.153618 0.473117 0.0467893 0.02896250 1.12869
  178  6713.278 1.119340   0.520173 4754.54 3011.81 64.6918 1.21313 0.162978 0.432108 0.0553679 0.03904860 1.13055
  179  6713.278 1.119340   0.520174 4754.54 3011.81 64.6915 1.21313 0.162972 0.432128 0.0553632 0.03904250 1.13055
  180  6713.276 1.119350   0.520169 4754.52 3011.81 64.6924 1.21313 0.162654 0.432114 0.0553934 0.03904650 1.13055
  181  6713.274 1.119350   0.520169 4754.52 3011.81 64.6926 1.21313 0.162623 0.432092 0.0553840 0.03904530 1.13055
  182  6713.274 1.119350   0.520169 4754.52 3011.81 64.6926 1.21313 0.162623 0.432092 0.0553840 0.03904530 1.13055
