"Scenario","Iter","Parameter","Value"
"WorkFlow",37,"CMultStdev",0.510904
"WorkFlow",37,"tvVmax",3822.9
"WorkFlow",37,"tvKm",1919.47
"WorkFlow",37,"tvV",58.424
"WorkFlow",37,"tvKa",0.781654
"WorkFlow",37,"K12",2.57486
"WorkFlow",37,"K21",2.4455
"WorkFlow",38,"-2LL",6512.52958
"WorkFlow",38,"CMultStdev",0.506268
"WorkFlow",38,"tvVmax",3687.65
"WorkFlow",38,"tvKm",1850.81
"WorkFlow",38,"tvV",57.9153
"WorkFlow",38,"tvKa",0.768726
"WorkFlow",38,"K12",2.518
"WorkFlow",38,"K21",2.36975
"WorkFlow",39,"-2LL",6509.97318
"WorkFlow",39,"CMultStdev",0.510046
"WorkFlow",39,"tvVmax",3598.69
"WorkFlow",39,"tvKm",1792.92
"WorkFlow",39,"tvV",57.6129
"WorkFlow",39,"tvKa",0.751491
"WorkFlow",39,"K12",2.4719
"WorkFlow",39,"K21",2.29633
"WorkFlow",40,"-2LL",6508.6481
"WorkFlow",40,"CMultStdev",0.511382
"WorkFlow",40,"tvVmax",3519.4
"WorkFlow",40,"tvKm",1734.27
"WorkFlow",40,"tvV",57.3245
"WorkFlow",40,"tvKa",0.737644
"WorkFlow",40,"K12",2.42929
"WorkFlow",40,"K21",2.21482
"WorkFlow",41,"-2LL",6507.30048
"WorkFlow",41,"CMultStdev",0.52176
"WorkFlow",41,"tvVmax",3569.72
"WorkFlow",41,"tvKm",1737.78
"WorkFlow",41,"tvV",57.6272
"WorkFlow",41,"tvKa",0.73269
"WorkFlow",41,"K12",2.44587
"WorkFlow",41,"K21",2.20154
"WorkFlow",42,"-2LL",6506.09728
"WorkFlow",42,"CMultStdev",0.54157
"WorkFlow",42,"tvVmax",3705.29
"WorkFlow",42,"tvKm",1765.74
"WorkFlow",42,"tvV",58.565
"WorkFlow",42,"tvKa",0.736126
"WorkFlow",42,"K12",2.4916
"WorkFlow",42,"K21",2.20268
"WorkFlow",43,"-2LL",6505.91936
"WorkFlow",43,"CMultStdev",0.531157
"WorkFlow",43,"tvVmax",3626.97
"WorkFlow",43,"tvKm",1735.17
"WorkFlow",43,"tvV",58.139
"WorkFlow",43,"tvKa",0.7384
"WorkFlow",43,"K12",2.45806
"WorkFlow",43,"K21",2.16595
"WorkFlow",44,"-2LL",6505.29232
"WorkFlow",44,"CMultStdev",0.529475
"WorkFlow",44,"tvVmax",3606.8
"WorkFlow",44,"tvKm",1716.76
"WorkFlow",44,"tvV",58.0868
"WorkFlow",44,"tvKa",0.739563
"WorkFlow",44,"K12",2.44734
