
 WorkFlow
Start 2024-10-22 13:03:06  Run : 38.6333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31    dVdWT
  129 6670.432 4.920130   0.500702 2202.88  221.211 47.6370 0.913154 0.803970 3.02659 0.2462620 0.1160390 0.802343
  130 6670.190 5.138980   0.499808 2179.91  219.729 47.6586 0.916357 0.815260 3.05532 0.2496200 0.1195930 0.804820
  131 6669.850 5.487400   0.500207 2142.56  219.216 47.8204 0.912950 0.828882 3.11500 0.2513140 0.1224800 0.807053
  132 6669.805 6.028040   0.499691 2078.02  216.799 47.7949 0.910348 0.852495 3.19766 0.2559020 0.1273330 0.813254
  133 6669.805 6.030100   0.499689 2077.81  216.790 47.7946 0.910339 0.852587 3.19797 0.2559210 0.1273510 0.813277
  134 6669.805 6.030100   0.499689 2077.81  216.790 47.7946 0.910339 0.852587 3.19797 0.2559210 0.1273510 0.813277
  135 6669.753 6.030770   0.499666 2078.21  216.778 47.7946 0.910525 0.853394 3.19589 0.2557920 0.1272980 0.813286
  136 6669.745 6.031680   0.499647 2078.37  216.773 47.7939 0.910666 0.853277 3.19552 0.2557990 0.1272530 0.813293
  137 6669.399 6.085510   0.498462 2088.92  216.424 47.7581 0.919065 0.847258 3.17051 0.2560420 0.1244760 0.813832
  138 6669.152 6.189770   0.496266 2109.37  215.737 47.6887 0.934800 0.836955 3.12128 0.2563130 0.1192820 0.814875
  139 6669.152 6.190160   0.496258 2109.45  215.734 47.6884 0.934853 0.836918 3.12109 0.2563130 0.1192630 0.814879
  140 6669.121 6.190550   0.496273 2109.62  215.677 47.6831 0.934071 0.837429 3.11921 0.2561000 0.1192380 0.814864
  141 6669.098 6.191380   0.496322 2109.60  215.612 47.6776 0.932988 0.837065 3.11877 0.2559810 0.1192210 0.814865
  142 6668.834 6.207530   0.497191 2109.89  214.508 47.5914 0.914633 0.831857 3.11079 0.2539210 0.1189150 0.815056
  143 6668.819 6.234310   0.498600 2110.65  212.679 47.4472 0.884893 0.824110 3.09492 0.2503620 0.1183590 0.815347
  144 6668.780 6.232500   0.498454 2110.67  212.852 47.4596 0.888192 0.825011 3.09543 0.2506750 0.1183720 0.815319
  145 6668.746 6.232100   0.498317 2110.70  212.997 47.4670 0.891768 0.825708 3.09504 0.2509660 0.1183190 0.815308
  146 6668.720 6.236180   0.498285 2110.84  212.975 47.4574 0.893867 0.825519 3.09189 0.2509760 0.1181160 0.815342
  147 6668.694 6.272090   0.498494 2111.85  212.245 47.3458 0.898289 0.821275 3.06685 0.2499780 0.1165910 0.815686
  148 6668.609 6.288790   0.498549 2112.20  211.968 47.2998 0.901353 0.818854 3.05702 0.2497530 0.1158930 0.815861
  149 6668.405 6.358930   0.498783 2113.66  210.812 47.1074 0.914123 0.808752 3.01601 0.2488010 0.1129970 0.816591
  150 6668.377 6.367660   0.498847 2113.82  210.644 47.0849 0.914752 0.807323 3.01148 0.2486380 0.1126700 0.816687
  151 6668.361 6.378140   0.498915 2114.01  210.451 47.0577 0.915769 0.805670 3.00591 0.2484550 0.1122710 0.816795
  152 6668.361 6.378390   0.498916 2114.02  210.446 47.0570 0.915801 0.805632 3.00577 0.2484510 0.1122620 0.816797
  153 6668.360 6.378470   0.498912 2113.99  210.444 47.0575 0.915737 0.805565 3.00578 0.2484480 0.1122610 0.816801
