
 WorkFlow
Start 2024-10-22 12:47:40  Run : 15.1166666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
  100 6627.078 2.510360   0.485253 2262.33  388.778 69.5821 1.225670 0.208169 0.823630 0.0596899 0.0555564 1.019800
  101 6627.078 2.510360   0.485253 2262.33  388.778 69.5821 1.225670 0.208169 0.823630 0.0596899 0.0555564 1.019800
  102 6627.074 2.505800   0.485450 2259.96  388.326 69.4417 1.223610 0.207982 0.822849 0.0595851 0.0555555 1.019530
  103 6627.073 2.505040   0.485498 2259.48  388.303 69.4258 1.223190 0.207853 0.822829 0.0595820 0.0555555 1.019570
  104 6627.071 2.503060   0.485732 2259.80  388.332 69.4646 1.222600 0.207889 0.822580 0.0595988 0.0555775 1.019860
  105 6627.067 2.494460   0.486273 2260.33  388.459 69.5488 1.220280 0.207835 0.821303 0.0596617 0.0556692 1.021130
  106 6627.064 2.490590   0.486328 2260.95  388.765 69.5929 1.220180 0.207929 0.820507 0.0597403 0.0557213 1.021960
  107 6627.056 2.477200   0.486343 2262.61  389.944 69.6464 1.220210 0.208129 0.817414 0.0600197 0.0559029 1.025030
  108 6627.050 2.467060   0.486180 2264.06  391.159 69.5973 1.220910 0.208303 0.814620 0.0602759 0.0560518 1.027840
  109 6627.045 2.459840   0.485995 2265.34  392.272 69.4651 1.221100 0.208424 0.812210 0.0604839 0.0561669 1.030360
  110 6627.042 2.456710   0.485858 2266.37  392.992 69.3222 1.220150 0.208495 0.810726 0.0605993 0.0562253 1.032030
  111 6627.039 2.453460   0.485715 2268.13  393.906 69.1225 1.217220 0.208589 0.808746 0.0607399 0.0562942 1.034360
  112 6627.035 2.450970   0.485634 2270.31  394.740 68.9545 1.212930 0.208688 0.806752 0.0608770 0.0563556 1.036730
  113 6627.033 2.450230   0.485638 2272.37  395.220 68.8741 1.208850 0.208749 0.805294 0.0609782 0.0563896 1.038420
  114 6627.032 2.450750   0.485690 2274.22  395.400 68.8621 1.206020 0.208773 0.804310 0.0610557 0.0564029 1.039450
  115 6627.031 2.451630   0.485761 2276.29  395.448 68.8702 1.204160 0.208771 0.803365 0.0611421 0.0564133 1.040330
  116 6627.030 2.452210   0.485826 2279.21  395.485 68.8620 1.202680 0.208756 0.802000 0.0612722 0.0564372 1.041570
